Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.84      2.68     2.68   535396     0.00     0.00  _Host_Frame
  8.43      4.97     2.29   315411     0.00     0.00  quake::clipping::clip(glvert_s const*, unsigned int, glvert_s const**, unsigned int*)
  8.23      7.20     2.24  1488230     0.00     0.00  BoxOnPlaneSide
  8.06      9.39     2.19      952     0.00     0.00  quake::sound::fillOutputBuffer(void*, unsigned int, void*)
  6.42     11.14     1.75   610435     0.00     0.00  quake::clipping::is_clipping_required(glvert_s const*, unsigned int)
  4.94     12.48     1.34     4663     0.00     0.00  GL_DrawAliasFrame(aliashdr_t*, int)
  3.63     13.47     0.99   125823     0.00     0.00  VectorNormalize
  3.58     14.44     0.97        1     0.97     0.97  quake::network::infrastructure::init()
  3.58     15.41     0.97      292     0.00     0.00  Sys_FileRead
  2.67     16.14     0.72   363883     0.00     0.00  GL_Bind
  2.55     16.83     0.69    12922     0.00     0.00  SV_RecursiveHullCheck
  2.53     17.52     0.69    12616     0.00     0.00  Cache_Check
  2.32     18.15     0.63   615879     0.00     0.00  Q_strcmp
  1.73     18.62     0.47       59     0.01     0.01  Sys_FileOpenRead
  1.64     19.07     0.45   305940     0.00     0.00  R_RenderBrushPoly
  1.39     19.44     0.38      529     0.00     0.00  GL_Upload32_A(int, unsigned char const*, int, int)
  1.32     19.80     0.36     4663     0.00     0.00  RecursiveLightPoint(float*, mnode_s*, float*, float*)
  1.20     20.13     0.33     1207     0.00     0.00  R_RecursiveWorldNode(mnode_s*)
  1.17     20.45     0.32   466820     0.00     0.00  CRC_ProcessByte
  1.06     20.74     0.29       29     0.01     0.01  Sys_FileTime
  1.03     21.02     0.28   267698     0.00     0.00  quake::battery::check()
  0.97     21.28     0.26   372710     0.00     0.00  R_CullBox
  0.84     21.51     0.23                             Host_Frame
  0.78     21.72     0.21     9702     0.00     0.00  Sys_FloatTime
  0.75     21.92     0.20   173964     0.00     0.00  Q_strcasecmp
  0.72     22.12     0.20   291118     0.00     0.00  ShortNoSwap
  0.71     22.31     0.19        2     0.10     0.10  VID_Shutdown
  0.68     22.50     0.18     2455     0.00     0.00  GL_EndRendering
  0.66     22.68     0.18    14096     0.00     0.00  EmitSkyPolys
  0.64     22.85     0.17     1692     0.00     0.00  SX_RoomFX
  0.62     23.02     0.17     6041     0.00     0.00  AngleVectors
  0.57     23.17     0.15    11874     0.00     0.00  R_BuildLightMap(msurface_s*, unsigned char*, int)
  0.54     23.32     0.15     4313     0.00     0.00  Q_memcpy
  0.53     23.46     0.14    11316     0.00     0.00  SV_ClipToLinks
  0.52     23.61     0.14        1     0.14     0.14  COM_InitArgv
  0.47     23.73     0.13    10166     0.00     0.00  SV_Physics_Pusher
  0.47     23.86     0.13      502     0.00     0.00  GL_Upload8
  0.46     23.99     0.13     4830     0.00     0.00  anglemod
  0.46     24.11     0.12     2114     0.00     0.00  Z_Malloc
  0.43     24.23     0.12    31655     0.00     0.00  D_DrawParticleBuffered
  0.39     24.33     0.11     6758     0.00     0.00  Q_strncpy
  0.34     24.43     0.09    91422     0.00     0.00  Draw_Character
  0.32     24.52     0.09     6282     0.00     0.00  Q_memset
  0.31     24.60     0.08   105545     0.00     0.00  LongNoSwap
  0.31     24.68     0.08     5607     0.00     0.00  PR_ExecuteProgram
  0.26     24.75     0.07     4980     0.00     0.00  COM_Parse
  0.26     24.82     0.07    11572     0.00     0.00  VectorScale
  0.24     24.89     0.07     9264     0.00     0.00  Q_atof
  0.24     24.95     0.07     2417     0.00     0.00  Mod_PointInLeaf
  0.24     25.02     0.06    27226     0.00     0.00  MSG_WriteByte
  0.22     25.08     0.06    26100     0.00     0.00  MSG_ReadByte
  0.22     25.14     0.06    14020     0.00     0.00  SV_HullForEntity
  0.21     25.20     0.06     1207     0.00     0.00  V_CalcBob
  0.19     25.25     0.05     1207     0.00     0.00  CL_DecayLights
  0.19     25.30     0.05      530     0.00     0.00  GL_LoadTextureLM
  0.19     25.35     0.05        1     0.05     0.05  SNDDMA_Shutdown
  0.17     25.40     0.05     2370     0.00     0.00  SV_FindTouchedLeafs
  0.16     25.44     0.04     1207     0.00     0.00  R_PushDlights
  0.16     25.48     0.04     1098     0.00     0.00  SV_RecursiveSurfCheck
  0.16     25.53     0.04     4879     0.00     0.00  SV_TouchLinks
  0.16     25.57     0.04                             R_StoreEfrags
  0.15     25.61     0.04     6492     0.00     0.00  MSG_ReadAngle
