Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.92      3.22     3.22   196737     0.00     0.00  quake::clipping::clip(glvert_s const*, unsigned int, glvert_s const**, unsigned int*)
  9.46      6.29     3.07  1138525     0.00     0.00  BoxOnPlaneSide
  8.80      9.15     2.86     1110     0.00     0.00  quake::sound::fillOutputBuffer(void*, unsigned int, void*)
  6.56     11.28     2.13   738609     0.00     0.00  Draw_Character
  6.14     13.28     1.99   129158     0.00     0.00  VectorNormalize
  5.87     15.19     1.91   283551     0.00     0.00  quake::clipping::is_clipping_required(glvert_s const*, unsigned int)
  4.98     16.80     1.62   208742     0.00     0.00  _Host_Frame
  4.90     18.39     1.59     4334     0.00     0.00  GL_DrawAliasFrame(aliashdr_t*, int)
  4.37     19.81     1.42     5278     0.00     0.00  Sys_FileRead
  4.27     21.20     1.39        1     1.39     1.39  quake::network::infrastructure::init()
  2.86     22.13     0.93     5320     0.00     0.00  RecursiveLightPoint(mnode_s*, float*, float*)
  2.11     22.82     0.69   250319     0.00     0.00  GL_Bind
  2.08     23.49     0.68   104371     0.00     0.00  quake::battery::check()
  1.75     24.06     0.57    24463     0.00     0.00  R_BuildLightMap(msurface_s*, unsigned char*, int)
  1.58     24.58     0.51   237604     0.00     0.00  R_RenderBrushPoly
  1.47     25.05     0.48    11862     0.00     0.00  Cache_Check
  1.33     25.48     0.43    38921     0.00     0.00  D_DrawParticle
  1.29     25.90     0.42        1     0.42     0.42  COM_InitArgv
  1.25     26.31     0.41      986     0.00     0.00  R_RecursiveWorldNode(mnode_s*)
  1.24     26.71     0.40       44     0.01     0.01  Sys_FileOpenRead
  1.11     27.07     0.36     3944     0.00     0.00  anglemod
  1.03     27.41     0.34   287073     0.00     0.00  R_CullBox
  0.85     27.68     0.28    26156     0.00     0.00  MSG_ReadCoord
  0.70     27.91     0.23    25728     0.00     0.00  Draw_AlphaPic(int, int, qpic_t*, float)
  0.67     28.13     0.22    57411     0.00     0.00  MSG_ReadByte
  0.65     28.34     0.21     7517     0.00     0.00  Q_strncpy
  0.65     28.55     0.21      235     0.00     0.00  GL_Upload8
  0.55     28.73     0.18                             Host_Frame
  0.50     28.89     0.16   130163     0.00     0.00  ShortNoSwap
  0.48     29.05     0.16    18324     0.00     0.00  EmitWaterPolys
  0.45     29.19     0.15      813     0.00     0.00  Q_memcpy
  0.44     29.34     0.14    89384     0.00     0.00  LongNoSwap
  0.42     29.47     0.14     2588     0.00     0.00  GL_EndRendering
  0.41     29.61     0.13      489     0.00     0.00  R_MarkLights
  0.33     29.71     0.11     2267     0.00     0.00  Mod_PointInLeaf
  0.31     29.81     0.10     3105     0.00     0.00  AngleVectors
  0.28     29.91     0.09     1293     0.00     0.00  V_UpdatePalette
  0.27     29.99     0.09     1873     0.00     0.00  Length
  0.24     30.07     0.08       40     0.00     0.00  Mod_FloodFillSkin(unsigned char*, int, int)
  0.22     30.14     0.07      986     0.00     0.00  V_CalcBob
  0.22     30.21     0.07     1009     0.00     0.00  S_TransferPaintBuffer
  0.20     30.28     0.07                             R_StoreEfrags
  0.19     30.34     0.06    48962     0.00     0.00  Q_strcmp
  0.19     30.41     0.06      442     0.00     0.00  Cache_TryAlloc
  0.19     30.47     0.06    43294     0.00     0.00  FloatNoSwap
  0.18     30.52     0.06      270     0.00     0.00  R_RunParticleEffect
  0.18     30.58     0.06      155     0.00     0.00  Hunk_FreeToHighMark
  0.18     30.64     0.06    14327     0.00     0.00  Hunk_AllocName
  0.18     30.70     0.06     4991     0.00     0.00  MSG_ReadAngle
  0.17     30.76     0.06      165     0.00     0.00  Sys_FileSeek
  0.17     30.81     0.06     3633     0.00     0.00  quake::clipping::calculate_frustum(ScePspFMatrix4 const&, ScePspFVector4 (*) [4])
  0.17     30.86     0.05     1044     0.00     0.00  EmitSkyPolys
  0.16     30.92     0.05     2756     0.00     0.00  Q_memset
  0.15     30.97     0.05      986     0.00     0.00  CL_DecayLights
  0.14     31.01     0.04      986     0.00     0.00  R_SetupGL()
  0.13     31.05     0.04      986     0.00     0.00  R_PushDlights
  0.13     31.09     0.04     1293     0.00     0.00  SCR_TileClear()
  0.12     31.13     0.04    17445     0.00     0.00  Q_strcasecmp
  0.11     31.17     0.04      136     0.00     0.00  VectorMA
  0.10     31.20     0.03     2647     0.00     0.00  R_RotateForEntity
  0.10     31.24     0.03     1283     0.00     0.00  Sys_FloatTime
  0.10     31.27     0.03     6162     0.00     0.00  CalcSurfaceExtents(msurface_s*)
  0.10     31.30     0.03     2647     0.00     0.00  quake::clipping::end_brush_model()
  0.09     31.33     0.03    15032     0.00     0.00  CL_ParseUpdate
  0.09     31.36     0.03       83     0.00     0.00  Mod_LeafPVS
  0.09     31.39     0.03      156     0.00     0.00  Hunk_HighAllocName
  0.08     31.42     0.03    21696     0.00     0.00  CRC_ProcessByte
  0.08     31.44     0.03     3633     0.00     0.00  quake::math::multiply(ScePspFMatrix4 const&, ScePspFMatrix4 const&, ScePspFMatrix4*)
  0.08     31.47     0.03                             R_RenderView
  0.08     31.50     0.03    13336     0.00     0.00  Q_strncmp
  0.08     31.52     0.03      238     0.00     0.00  quake::vram::allocate(unsigned int)
  0.08     31.55     0.03       78     0.00     0.00  Hunk_FreeToLowMark
  0.08     31.57     0.03      986     0.00     0.00  D_StartParticles
  0.07     31.60     0.02     4546     0.00     0.00  MSG_ReadShort
  0.07     31.62     0.02     1792     0.00     0.00  VectorScale
  0.07     31.64     0.02      986     0.00     0.00  R_AnimateLight
  0.07     31.67     0.02      705     0.00     0.00  Z_Malloc
  0.07     31.69     0.02     2267     0.00     0.00  SNDDMA_GetDMAPos
  0.06     31.71     0.02     7521     0.00     0.00  R_DrawAliasModel(entity_s*)
  0.06     31.73     0.02     1281     0.00     0.00  CDAudio_Update
  0.06     31.75     0.02      235     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::erase(__gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.06     31.77     0.02     6999     0.00     0.00  R_DrawBrushModel
  0.06     31.80     0.02      377     0.00     0.00  VID_ShiftPalette
  0.06     31.82     0.02                             Draw_Pic
  0.06     31.83     0.02                             Draw_TransPic
  0.06     31.85     0.02      986     0.00     0.00  Draw_TileClear
  0.06     31.87     0.02      986     0.00     0.00  IN_Move
  0.05     31.89     0.02     1293     0.00     0.00  GL_Set2D
  0.05     31.90     0.02     1282     0.00     0.00  IN_Commands
  0.05     31.92     0.02     5320     0.00     0.00  R_LightPoint
  0.05     31.94     0.02      986     0.00     0.00  CL_LerpPoint
  0.05     31.95     0.02      968     0.00     0.00  MSG_ReadLong
  0.05     31.97     0.02        4     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.05     31.98     0.01      931     0.00     0.00  Con_DrawNotify
  0.04     32.00     0.01      991     0.00     0.00  SZ_Clear
  0.04     32.01     0.01      986     0.00     0.00  Sbar_DrawFace
  0.04     32.02     0.01      169     0.00     0.00  COM_FindFile
  0.04     32.04     0.01       42     0.00     0.00  Sys_FileClose
  0.04     32.05     0.01        3     0.00     0.00  Sys_FileTime
  0.04     32.06     0.01     3633     0.00     0.00  R_BlendLightmaps()
  0.04     32.07     0.01     2419     0.00     0.00  MSG_ReadChar
  0.04     32.09     0.01        2     0.01     0.01  R_ParticleExplosion
  0.03     32.10     0.01     2958     0.00     0.00  Sbar_DrawNum
  0.03     32.11     0.01     1977     0.00     0.00  CL_GetMessage
  0.03     32.12     0.01      986     0.00     0.00  CL_AdjustAngles
  0.03     32.13     0.01      986     0.00     0.00  CL_UpdateTEnts
  0.03     32.14     0.01      986     0.00     0.01  R_DrawWorld
  0.03     32.15     0.01        1     0.01     0.01  SNDDMA_Init
  0.03     32.16     0.01                             Hunk_Alloc
  0.03     32.17     0.01     2267     0.00     0.00  S_PaintChannels
  0.03     32.18     0.01     7210     0.00     0.00  S_LoadSound
  0.03     32.19     0.01     2958     0.00     0.00  MSG_WriteAngle
  0.03     32.20     0.01      303     0.00     0.00  SubdividePolygon(int, float*)
  0.03     32.21     0.01      239     0.00     0.00  GL_LoadTexture
  0.02     32.22     0.01     2963     0.00     0.00  MSG_WriteByte
  0.02     32.23     0.01     1294     0.00     0.00  Con_CheckResize
  0.02     32.23     0.01     1293     0.00     0.00  GL_BeginRendering
  0.02     32.24     0.01     1293     0.00     0.00  Sbar_Draw
  0.02     32.25     0.01     1281     0.00     0.00  S_Update
  0.02     32.26     0.01      986     0.00     0.00  R_RenderDlights
  0.02     32.27     0.01      986     0.00     0.00  R_SetFrustum()
  0.02     32.27     0.01      986     0.00     0.00  R_DrawViewModel()
  0.02     32.28     0.01      986     0.00     0.00  R_DrawEntitiesOnList()
  0.02     32.29     0.01      470     0.00     0.00  round_up(unsigned int)
  0.02     32.30     0.01     2958     0.00     0.00  MSG_WriteShort
  0.02     32.30     0.01     2279     0.00     0.00  V_RenderView
  0.02     32.31     0.01      986     0.00     0.00  CL_BaseMove
  0.02     32.31     0.01                             S_ExtraUpdate
  0.02     32.32     0.01                             S_Update_
  0.02     32.32     0.01     4334     0.00     0.00  Mod_Extradata
  0.02     32.33     0.01     1282     0.00     0.00  NET_Poll
  0.02     32.33     0.01     1019     0.00     0.00  Q_strlen
  0.02     32.34     0.01      986     0.00     0.00  CL_RelinkEntities
  0.02     32.34     0.01      986     0.00     0.00  V_CalcRefdef
  0.02     32.35     0.01      870     0.00     0.00  Q_strcpy
  0.02     32.35     0.01      146     0.00     0.00  Cache_Alloc
  0.02     32.36     0.01                             Mod_ForName
  0.01     32.36     0.00     2647     0.00     0.00  quake::clipping::begin_brush_model()
  0.01     32.37     0.00     1573     0.00     0.00  Sbar_Changed
  0.01     32.37     0.00     1293     0.00     0.00  M_Draw
  0.01     32.38     0.00     1282     0.00     0.00  CL_SendCmd
  0.01     32.38     0.00      986     0.00     0.00  CalcGunAngle
  0.01     32.38     0.00      986     0.00     0.00  Sbar_DrawInventory
  0.01     32.39     0.00      986     0.00     0.00  R_MarkLeaves()
  0.01     32.39     0.00      986     0.00     0.00  quake::clipping::begin_frame()
  0.01     32.40     0.00      963     0.00     0.00  MSG_ReadFloat
  0.01     32.40     0.00      583     0.00     0.00  S_StartSound
  0.01     32.40     0.00      139     0.00     0.00  Mod_TouchModel
  0.01     32.41     0.00       24     0.00     0.00  Mod_SetParent(mnode_s*, mnode_s*)
  0.01     32.41     0.00     5520     0.00     0.00  SNDDMA_Submit
  0.01     32.41     0.00     2958     0.00     0.00  D_EndParticles
  0.01     32.42     0.00     1282     0.00     0.00  Sys_SendKeyEvents
  0.01     32.42     0.00      987     0.00     0.00  CL_ReadFromServer
  0.01     32.42     0.00      968     0.00     0.00  CL_ParseClientdata
  0.01     32.42     0.00      113     0.00     0.00  W_GetLumpName
  0.01     32.43     0.00        1     0.00     0.00  Hunk_Check
  0.01     32.43     0.00                             R_RenderScene()
  0.01     32.43     0.00     1282     0.00     0.00  Sys_ConsoleInput
  0.01     32.44     0.00      991     0.00     0.00  CL_ParseServerMessage
  0.01     32.44     0.00      991     0.00     0.00  MSG_BeginReading
  0.01     32.44     0.00      986     0.00     0.00  CL_SendMove
  0.01     32.44     0.00      986     0.00     0.00  R_DrawWaterSurfaces
  0.01     32.44     0.00      986     0.00     0.00  V_SetContentsColor
  0.01     32.45     0.00      986     0.00     0.00  R_SetupFrame()
  0.01     32.45     0.00      373     0.00     0.00  MSG_ReadString
  0.01     32.45     0.00      351     0.00     0.00  V_BonusFlash_f
  0.01     32.45     0.00      168     0.00     0.00  Q_atof
  0.01     32.45     0.00       40     0.00     0.00  R_SplitEntityOnNode(mnode_s*)
  0.01     32.45     0.00                             SCR_UpdateScreen
  0.00     32.46     0.00     1282     0.00     0.00  Cbuf_Execute
  0.00     32.46     0.00      986     0.00     0.00  MSG_WriteFloat
  0.00     32.46     0.00      986     0.00     0.00  R_Mirror()
  0.00     32.46     0.00      542     0.00     0.00  CL_ParseStartSoundPacket
  0.00     32.46     0.00      303     0.00     0.00  GL_SubdivideSurface
  0.00     32.46     0.00      296     0.00     0.00  Cache_Move
  0.00     32.46     0.00      244     0.00     0.00  CL_KeepaliveMessage
  0.00     32.46     0.00      164     0.00     0.00  Draw_EndDisc
  0.00     32.46     0.00      156     0.00     0.00  Hunk_TempAlloc
  0.00     32.47     0.00      136     0.00     0.00  R_ParseParticleEffect
  0.00     32.47     0.00      134     0.00     0.00  Cvar_RegisterVariable
  0.00     32.47     0.00      112     0.00     0.00  S_PrecacheSound
  0.00     32.47     0.00       48     0.00     0.00  COM_FileBase
  0.00     32.47     0.00       38     0.00     0.01  GL_MakeAliasModelDisplayLists
  0.00     32.47     0.00       36     0.00     0.00  Cvar_Command
  0.00     32.47     0.00        1     0.00     0.00  IN_Init
  0.00     32.47     0.00        1     0.00     0.00  R_ClearParticles
  0.00     32.47     0.00        1     0.00     0.00  R_InitSky
  0.00     32.47     0.00        1     0.00     1.21  R_NewMap
  0.00     32.48     0.00        1     0.00     0.00  SND_InitScaletable
  0.00     32.48     0.00                             Draw_BeginDisc
  0.00     32.48     0.00                             R_DrawParticles
  0.00     32.48     0.00                             S_StopAllSounds
  0.00     32.48     0.00      520     0.00     0.00  Z_Free
  0.00     32.48     0.00      453     0.00     0.00  COM_Parse
  0.00     32.48     0.00      362     0.00     0.01  Con_DrawConsole
  0.00     32.48     0.00      328     0.00     0.00  COM_LoadFile
  0.00     32.48     0.00      287     0.00     0.00  Cmd_Argv
  0.00     32.48     0.00      278     0.00     0.00  Mod_LoadModel(model_s*, qboolean)
  0.00     32.48     0.00      233     0.00     0.00  Sys_Printf
  0.00     32.48     0.00      219     0.00     0.00  S_FindName
  0.00     32.48     0.00      217     0.00     0.00  Cmd_TokenizeString
  0.00     32.48     0.00      177     0.00     0.00  CL_ParseBaseline
  0.00     32.48     0.00      146     0.00     0.00  Cmd_Argc
  0.00     32.48     0.00      138     0.00     0.00  CL_ParseTEnt
  0.00     32.48     0.00      136     0.00     0.00  Cmd_AddCommand
  0.00     32.48     0.00      131     0.00     0.00  Cmd_Exists
  0.00     32.48     0.00      130     0.00     0.00  Cvar_VariableString
  0.00     32.48     0.00      124     0.00     0.00  R_RocketTrail
  0.00     32.48     0.00      110     0.00     0.00  Draw_PicFromWad
  0.00     32.48     0.00      108     0.00     0.00  GetWavinfo
  0.00     32.48     0.00      108     0.00     0.00  Q_strcat
  0.00     32.48     0.00      108     0.00     0.00  ResampleSfx
  0.00     32.48     0.00       82     0.00     0.00  Hunk_LowMark
  0.00     32.48     0.00       79     0.00     0.00  R_DrawSkyChain
  0.00     32.48     0.00       72     0.00     0.00  S_StaticSound
  0.00     32.48     0.00       63     0.00     0.00  Con_Printf
  0.00     32.48     0.00       58     0.00     0.00  Con_Print
  0.00     32.48     0.00       58     0.00     0.00  va
  0.00     32.48     0.00       40     0.00     0.00  R_AddEfrags
  0.00     32.48     0.00       38     0.00     0.00  COM_StripExtension
  0.00     32.48     0.00       38     0.00     0.00  Mod_LoadAllSkins(int, daliasskintype_t*)
  0.00     32.48     0.00       37     0.00     0.00  Cvar_Set
  0.00     32.48     0.00       36     0.00     0.00  SZ_Write
  0.00     32.48     0.00       17     0.00     0.00  COM_CheckParm
  0.00     32.48     0.00       11     0.00     0.00  V_ParseDamage
  0.00     32.48     0.00        9     0.00     0.00  Con_DPrintf
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadEdges(lump_t*)
  0.00     32.48     0.00        8     0.00     0.02  Mod_LoadFaces(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadLeafs(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadPlanes(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadTexinfo(lump_t*)
  0.00     32.48     0.00        8     0.00     0.01  Mod_LoadTextures(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadVertexes(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadClipnodes(lump_t*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadSubmodels(lump_t*)
  0.00     32.48     0.00        8     0.00     0.06  Mod_LoadBrushModel(model_s*, void*)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadSpriteFrame(void*, mspriteframe_s**, int)
  0.00     32.48     0.00        8     0.00     0.00  Mod_LoadMarksurfaces(lump_t*)
